nodeID,locationNodeID,nodeType,longName,hasPatient,isClean
1,1,0,Hospital Bed for jose,0,0
2,2,0,Hospital Bed 13,0,0
3,3,1,Infusion Pump 1,0,0
4,5,0,Hospital Bed for jose,0,0
5,6,0,Hospital Bed 13,0,0
6,7,1,Infusion Pump 1,0,0
7,9,0,Hospital Bed for jose,0,0
8,10,0,Hospital Bed 13,0,0
9,11,1,Infusion Pump 1,0,0
10,13,0,Hospital Bed for jose,0,0
11,14,0,Hospital Bed 13,0,0
12,15,1,Infusion Pump 1,0,0
13,17,0,Hospital Bed for jose,0,0
14,18,0,Hospital Bed 13,0,0
15,19,1,Infusion Pump 1,0,0
16,21,0,Hospital Bed for jose,0,0
17,22,0,Hospital Bed 13,0,0
18,23,1,Infusion Pump 1,0,0
19,25,0,Hospital Bed for jose,0,0
20,26,0,Hospital Bed 13,0,0
21,27,1,Infusion Pump 1,0,0
22,29,0,Hospital Bed for jose,0,0
23,30,0,Hospital Bed 13,0,0
24,31,1,Infusion Pump 1,0,0
25,33,0,Hospital Bed for jose,0,0
26,34,0,Hospital Bed 13,0,0
27,35,1,Infusion Pump 1,0,0
28,37,0,Hospital Bed for jose,0,0
29,38,0,Hospital Bed 13,0,0
30,39,1,Infusion Pump 1,0,0
31,41,0,Hospital Bed for jose,0,0
32,42,0,Hospital Bed 13,0,0
33,43,1,Infusion Pump 1,0,0
34,45,0,Hospital Bed for jose,0,0
35,46,0,Hospital Bed 13,0,0
36,47,1,Infusion Pump 1,0,0
37,49,0,Hospital Bed for jose,0,0
38,50,0,Hospital Bed 13,0,0
39,51,1,Infusion Pump 1,0,0
40,53,0,Hospital Bed for jose,0,0
41,54,0,Hospital Bed 13,0,0
42,55,1,Infusion Pump 1,0,0
