nodeID,locationNodeID,nodeType,longName,hasPatient,isClean
1,133,Patient Bed,Hospital Bed 1,1,0
2,134,Patient Bed,Hospital Bed 2,1,0
3,135,Patient Bed,Hospital Bed 3,1,0
4,136,Patient Bed,Hospital Bed 4,1,0
5,137,Patient Bed,Hospital Bed 5,1,0
6,138,Patient Bed,Hospital Bed 6,1,0
7,139,Patient Bed,Hospital Bed 7,1,0
8,140,Patient Bed,Hospital Bed 8,1,0
9,141,Patient Bed,Hospital Bed 9,1,0
10,142,Patient Bed,Hospital Bed 10,1,0
11,143,Patient Bed,Hospital Bed 11,0,1
12,144,Patient Bed,Hospital Bed 12,0,1
13,145,Patient Bed,Hospital Bed 13,0,1
14,146,Patient Bed,Hospital Bed 14,0,1
15,147,Patient Bed,Hospital Bed 15,0,1
16,148,Patient Bed,Hospital Bed 16,0,1
17,149,Patient Bed,Hospital Bed 17,0,1
18,150,Patient Bed,Hospital Bed 18,0,1
19,151,Patient Bed,Hospital Bed 19,0,1
20,152,Patient Bed,Hospital Bed 20,0,1
21,130,Infusion Pump,Infusion Pump 1,1,1
22,130,Infusion Pump,Infusion Pump 2,1,1
23,130,Infusion Pump,Infusion Pump 3,1,1
24,130,Infusion Pump,Infusion Pump 4,1,1
25,130,Infusion Pump,Infusion Pump 5,1,1
26,131,Infusion Pump,Infusion Pump 6,1,1
27,131,Infusion Pump,Infusion Pump 7,1,1
28,131,Infusion Pump,Infusion Pump 8,1,1
29,131,Infusion Pump,Infusion Pump 9 ,1,1
30,131,Infusion Pump,Infusion Pump 10,1,1
31,132,Infusion Pump,Infusion Pump 11,0,0
32,132,Infusion Pump,Infusion Pump 12,0,0
33,132,Infusion Pump,Infusion Pump 13,0,0
34,132,Infusion Pump,Infusion Pump 14,0,0
35,132,Infusion Pump,Infusion Pump 15,0,0
36,125,Infusion Pump,Infusion Pump 16,0,1
37,125,Infusion Pump,Infusion Pump 17,0,1
38,125,Infusion Pump,Infusion Pump 18,0,1
39,125,Infusion Pump,Infusion Pump 19,0,1
40,125,Infusion Pump,Infusion Pump 20,0,1
41,133,X-Ray,X-Ray ,0,0
42,83,Recliner,Recliner 1,0,0
43,84,Recliner,Recliner 2,0,0
44,85,Recliner,Recliner 3,0,0
45,86,Recliner,Recliner 4,0,0
46,87,Recliner,Recliner 5,0,0
47,88,Recliner,Recliner 6,0,0
