nodeID,locationNodeID,nodeType,longName,hasPatient,isClean
ePBED00103,ePATI00103,0,Hospital Bed 1,FALSE,FALSE
ePBED00203,ePATI00203,0,Hospital Bed 2,TRUE,FALSE
ePBED00303,ePATI00303,0,Hospital Bed 3,FALSE,FALSE
ePBED00403,ePATI00403,0,Hospital Bed 4,FALSE,FALSE
ePBED00503,ePATI00503,0,Hospital Bed 5,TRUE,FALSE
ePBED00603,ePATI00603,0,Hospital Bed 6,FALSE,FALSE
ePBED00703,ePATI00703,0,Hospital Bed 7,FALSE,FALSE
ePBED00803,ePATI00803,0,Hospital Bed 8,FALSE,FALSE
ePBED00903,ePATI00903,0,Hospital Bed 9,FALSE,FALSE
ePBED01003,ePATI01003,0,Hospital Bed 10,TRUE,FALSE
ePBED01103,ePATI01103,0,Hospital Bed 11,TRUE,FALSE
ePBED01203,ePATI01203,0,Hospital Bed 12,FALSE,FALSE
ePBED01303,ePATI01303,0,Hospital Bed 13,TRUE,FALSE
ePBED01403,ePATI01403,0,Hospital Bed 14,TRUE,FALSE
ePBED01503,ePATI01503,0,Hospital Bed 15,FALSE,FALSE
ePBED01603,ePATI01603,0,Hospital Bed 16,TRUE,FALSE
ePBED01703,ePATI01703,0,Hospital Bed 17,FALSE,FALSE
ePBED01803,ePATI01803,0,Hospital Bed 18,FALSE,FALSE
ePBED01903,ePATI01903,0,Hospital Bed 19,FALSE,FALSE
ePBED02003,ePATI02003,0,Hospital Bed 20,FALSE,FALSE
ePUMP00103,eSTOR00403,1,Infusion Pump 1,FALSE,FALSE
ePUMP00203,eSTOR00403,1,Infusion Pump 2,FALSE,FALSE
ePUMP00303,eSTOR00403,1,Infusion Pump 3,FALSE,FALSE
ePUMP00403,eSTOR00403,1,Infusion Pump 4,FALSE,FALSE
ePUMP00503,eSTOR00403,1,Infusion Pump 5,FALSE,FALSE
ePUMP00603,eSTOR00503,1,Infusion Pump 6,FALSE,FALSE
ePUML00703,eSTOR00503,1,Infusion Pump 7,TRUE,FALSE
ePUMP00803,eSTOR00503,1,Infusion Pump 8,FALSE,FALSE
ePUMP00903,eSTOR00503,1,Infusion Pump 9 ,FALSE,FALSE
ePUMP01003,eSTOR00503,1,Infusion Pump 10,FALSE,FALSE
ePUMP01103,eDIRT00103,1,Infusion Pump 11,FALSE,FALSE
ePUMP01203,eDIRT00103,1,Infusion Pump 12,FALSE,FALSE
ePUMP01303,eDIRT00103,1,Infusion Pump 13,TRUE,FALSE
ePUMP01403,eDIRT00103,1,Infusion Pump 14,FALSE,FALSE
ePUMP01503,eDIRT00103,1,Infusion Pump 15,FALSE,FALSE
ePUMP01603,eSTOR00101,1,Infusion Pump 16,TRUE,FALSE
ePUMP01703,eSTOR00101,1,Infusion Pump 17,FALSE,FALSE
ePUMP01803,eSTOR00101,1,Infusion Pump 18,FALSE,FALSE
ePUMP01903,eSTOR00101,1,Infusion Pump 19,FALSE,FALSE
ePUMP02003,eSTOR00101,1,Infusion Pump 20,FALSE,FALSE
eXRAY00103,ePATI00103,2,X-Ray ,,
eRECL00103,HHALL00103,3,Recliner 1,FALSE,
eRECL00203,HHALL00203,3,Recliner 2,FALSE,
eRECL00303,HHALL00303,3,Recliner 3,FALSE,
eRECL00403,HHALL00403,3,Recliner 4,FALSE,
eRECL00503,HHALL00503,3,Recliner 5,FALSE,
eRECL00603,HHALL00603,3,Recliner 6,FALSE,
