nodeID,locationNodeID,nodeType,longName,hasPatient,isClean
1,133,0,Hospital Bed 1,1,0
2,134,0,Hospital Bed 2,1,0
3,135,0,Hospital Bed 3,1,0
4,136,0,Hospital Bed 4,1,0
5,137,0,Hospital Bed 5,1,0
6,138,0,Hospital Bed 6,1,0
7,139,0,Hospital Bed 7,1,0
8,140,0,Hospital Bed 8,1,0
9,141,0,Hospital Bed 9,1,0
10,142,0,Hospital Bed 10,1,0
11,143,0,Hospital Bed 11,0,1
12,144,0,Hospital Bed 12,0,1
13,145,0,Hospital Bed 13,0,1
14,146,0,Hospital Bed 14,0,1
15,147,0,Hospital Bed 15,0,1
16,148,0,Hospital Bed 16,0,1
17,149,0,Hospital Bed 17,0,1
18,150,0,Hospital Bed 18,0,1
19,151,0,Hospital Bed 19,0,1
20,152,0,Hospital Bed 20,0,1
21,130,1,Infusion Pump 1,1,1
22,130,1,Infusion Pump 2,1,1
23,130,1,Infusion Pump 3,1,1
24,130,1,Infusion Pump 4,1,1
25,130,1,Infusion Pump 5,1,1
26,131,1,Infusion Pump 6,1,1
27,131,1,Infusion Pump 7,1,1
28,131,1,Infusion Pump 8,1,1
29,131,1,Infusion Pump 9 ,1,1
30,131,1,Infusion Pump 10,1,1
31,132,1,Infusion Pump 11,0,0
32,132,1,Infusion Pump 12,0,0
33,132,1,Infusion Pump 13,0,0
34,132,1,Infusion Pump 14,0,0
35,132,1,Infusion Pump 15,0,0
36,125,1,Infusion Pump 16,0,1
37,125,1,Infusion Pump 17,0,1
38,125,1,Infusion Pump 18,0,1
39,125,1,Infusion Pump 19,0,1
40,125,1,Infusion Pump 20,0,1
41,133,2,X-Ray ,0,0
42,83,3,Recliner 1,0,0
43,84,3,Recliner 2,0,0
44,85,3,Recliner 3,0,0
45,86,3,Recliner 4,0,0
46,87,3,Recliner 5,0,0
47,88,3,Recliner 6,0,0
