id,xcoord,ycoord,floor,building,nodeType,longName,shortName
1,1617,825,3,Tower,DEPT,Center for International Medicine,CIM
2,1610,1120,3,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
3,1721,931,3,Tower,DEPT,Multifaith Chapel,Chapel
4,1794,1146,3,Tower,DEPT,Sharf Admitting Center,Sharf Center
5,2128,1300,3,Tower,DEPT,Emergency Department,Emergency
6,1780,1029,3,Tower,DEPT,International Patient Center,IPC
7,2017,799,3,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
8,1748,1321,3,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
9,2099,1357,3,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
10,2055,910,3,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
11,2026,910,3,Tower,HALL,Lobby Shattuck Street,Hallway F00201
12,2017,910,3,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
13,1973,910,3,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
14,1950,910,3,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
15,1869,930,3,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
16,1758,930,3,Tower,HALL,Tower Elevator Entrance,Hallway F00701
17,1758,850,3,Tower,HALL,Tower Hallway 1,Hallway F00801
18,1627,850,3,Tower,HALL,Tower Hallway 2,Hallway F00901
19,1627,802,3,Tower,HALL,Tower Hallway 3,Hallway F01001
20,1627,930,3,Tower,HALL,Tower Hallway 4,Hallway F01101
21,1548,930,3,Tower,HALL,Tower Staff Entrance,Hallway F01201
22,1627,825,3,Tower,HALL,Tower Hallway 5,Hallway F01301
23,1627,1029,3,Tower,HALL,Tower Hallway 6,Hallway F01401
24,1627,1060,3,Tower,HALL,Tower Hallway 7,Hallway F01501
25,1758,1060,3,Tower,HALL,Tower Hallway 8,Hallway F01601
26,1721,956,3,Tower,HALL,Tower Hallway 9,Hallway F01701
27,1758,956,3,Tower,HALL,Tower Hallway 10,Hallway F01801
28,1758,1120,3,Tower,HALL,Tower Hallway 11,Hallway F01901
29,1700,1120,3,Tower,HALL,Tower Hallway 12,Hallway F02001
30,1769,1146,3,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
31,1769,1280,3,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
32,1845,1280,3,Tower,HALL,Lobby Hallway 1,Hallway F02301
33,1965,1280,3,Tower,HALL,Lobby Hallway 2,Hallway F02401
34,1965,1239,3,Tower,HALL,Lobby Hallway 3,Hallway F02501
35,2026,1239,3,Tower,HALL,Lobby Hallway 4,Hallway F02601
36,2066,1239,3,Tower,HALL,Lobby Hallway 7,Hallway F02701
37,1748,1280,3,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
38,1700,1280,3,Tower,HALL,75 Lobby,75 Lobby
39,1645,1246,3,Tower,HALL,Lobby Hallway 5,Hallway F02701
40,2026,976,3,Tower,HALL,Lobby Hallway 6,Hallway F02801
41,1758,1029,3,Tower,HALL,Tower Hallway 13,Hallway F03201
42,2066,1282,3,Tower,HALL,Emergency Hallway,Hallway F03301
43,1700,1226,3,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
44,1845,1250,3,Tower,LABS,Obstetrics Admitting,Obs Admitting
45,2091,976,3,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
46,1973,844,3,Tower,RETL,Lobby Vending Machine,VM Lobby
47,1609,1246,3,Tower,RETL,Au Bon Pain,ABP
48,1950,871,3,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
49,1605,1029,3,Tower,SERV,Tower Medical Cashier,Tower Cashier
50,1700,1158,3,Tower,SERV,Kessler Library,Kessler Library
51,1721,970,3,Tower,DEPT,Spiritual Care Office,SCO
