nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
1,1617,825,FirstFloor,Tower,DEPT,Center for International Medicine,CIM
2,1610,1120,FirstFloor,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
3,1721,931,FirstFloor,Tower,DEPT,Multifaith Chapel,Chapel
4,1794,1146,FirstFloor,Tower,DEPT,Sharf Admitting Center,Sharf Center
5,2128,1300,FirstFloor,Tower,DEPT,Emergency Department,Emergency
6,1780,1029,FirstFloor,Tower,DEPT,International Patient Center,IPC
7,2017,799,FirstFloor,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
8,1748,1321,FirstFloor,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
9,2099,1357,FirstFloor,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
10,2055,910,FirstFloor,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
11,2026,910,FirstFloor,Tower,HALL,Lobby Shattuck Street,Hallway F00201
12,2017,910,FirstFloor,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
13,1973,910,FirstFloor,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
14,1950,910,FirstFloor,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
15,1869,930,FirstFloor,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
16,1758,930,FirstFloor,Tower,HALL,Tower Elevator Entrance,Hallway F00701
17,1758,850,FirstFloor,Tower,HALL,Tower Hallway 1,Hallway F00801
18,1627,850,FirstFloor,Tower,HALL,Tower Hallway 2,Hallway F00901
19,1627,802,FirstFloor,Tower,HALL,Tower Hallway 3,Hallway F01001
20,1627,930,FirstFloor,Tower,HALL,Tower Hallway 4,Hallway F01101
21,1548,930,FirstFloor,Tower,HALL,Tower Staff Entrance,Hallway F01201
22,1627,825,FirstFloor,Tower,HALL,Tower Hallway 5,Hallway F01301
23,1627,1029,FirstFloor,Tower,HALL,Tower Hallway 6,Hallway F01401
