nodeID,locationNodeID,nodeType,longName,hasPatient,isClean
ePBED00103,ePATI00103,0,Hospital Bed 1,TRUE,FALSE
ePBED00203,ePATI00203,0,Hospital Bed 2,TRUE,FALSE
ePBED00303,ePATI00303,0,Hospital Bed 3,TRUE,FALSE
ePBED00403,ePATI00403,0,Hospital Bed 4,TRUE,FALSE
ePBED00503,ePATI00503,0,Hospital Bed 5,TRUE,FALSE
ePBED00603,ePATI00603,0,Hospital Bed 6,TRUE,FALSE
ePBED00703,ePATI00703,0,Hospital Bed 7,TRUE,FALSE
ePBED00803,ePATI00803,0,Hospital Bed 8,TRUE,FALSE
ePBED00903,ePATI00903,0,Hospital Bed 9,TRUE,FALSE
ePBED01003,ePATI01003,0,Hospital Bed 10,TRUE,FALSE
ePBED01103,ePATI01103,0,Hospital Bed 11,FALSE,TRUE
ePBED01203,ePATI01203,0,Hospital Bed 12,FALSE,TRUE
ePBED01303,ePATI01303,0,Hospital Bed 13,FALSE,TRUE
ePBED01403,ePATI01403,0,Hospital Bed 14,FALSE,TRUE
ePBED01503,ePATI01503,0,Hospital Bed 15,FALSE,TRUE
ePBED01603,ePATI01603,0,Hospital Bed 16,FALSE,TRUE
ePBED01703,ePATI01703,0,Hospital Bed 17,FALSE,TRUE
ePBED01803,ePATI01803,0,Hospital Bed 18,FALSE,TRUE
ePBED01903,ePATI01903,0,Hospital Bed 19,FALSE,TRUE
ePBED02003,ePATI02003,0,Hospital Bed 20,FALSE,TRUE
ePUMP00103,eSTOR00403,1,Infusion Pump 1,TRUE,TRUE
ePUMP00203,eSTOR00403,1,Infusion Pump 2,TRUE,TRUE
ePUMP00303,eSTOR00403,1,Infusion Pump 3,TRUE,TRUE
ePUMP00403,eSTOR00403,1,Infusion Pump 4,TRUE,TRUE
ePUMP00503,eSTOR00403,1,Infusion Pump 5,TRUE,TRUE
ePUMP00603,eSTOR00503,1,Infusion Pump 6,TRUE,TRUE
ePUML00703,eSTOR00503,1,Infusion Pump 7,TRUE,TRUE
ePUMP00803,eSTOR00503,1,Infusion Pump 8,TRUE,TRUE
ePUMP00903,eSTOR00503,1,Infusion Pump 9 ,TRUE,TRUE
ePUMP01003,eSTOR00503,1,Infusion Pump 10,TRUE,TRUE
ePUMP01103,eDIRT00103,1,Infusion Pump 11,FALSE,FALSE
ePUMP01203,eDIRT00103,1,Infusion Pump 12,FALSE,FALSE
ePUMP01303,eDIRT00103,1,Infusion Pump 13,FALSE,FALSE
ePUMP01403,eDIRT00103,1,Infusion Pump 14,FALSE,FALSE
ePUMP01503,eDIRT00103,1,Infusion Pump 15,FALSE,FALSE
ePUMP01603,eSTOR00101,1,Infusion Pump 16,FALSE,TRUE
ePUMP01703,eSTOR00101,1,Infusion Pump 17,FALSE,TRUE
ePUMP01803,eSTOR00101,1,Infusion Pump 18,FALSE,TRUE
ePUMP01903,eSTOR00101,1,Infusion Pump 19,FALSE,TRUE
ePUMP02003,eSTOR00101,1,Infusion Pump 20,FALSE,TRUE
eXRAY00103,ePATI00103,2,X-Ray ,,
eRECL00103,HHALL00103,3,Recliner 1,FALSE,
eRECL00203,HHALL00203,3,Recliner 2,FALSE,
eRECL00303,HHALL00303,3,Recliner 3,FALSE,
eRECL00403,HHALL00403,3,Recliner 4,FALSE,
eRECL00503,HHALL00503,3,Recliner 5,FALSE,
eRECL00603,HHALL00603,3,Recliner 6,FALSE,
